tanggal,jenisBisnis,jamOperasional,isWeekend,status
2025-07-09,Travel & Pariwisata,5,False,0
2025-07-09,Kerajinan & Produk Lokal,13,False,0
2025-07-09,Travel & Pariwisata,14,True,0
2025-07-09,Kreatif & Desain,1,True,0
2025-07-09,Digital & Teknologi,20,False,1
2025-07-09,F&B,12,False,1
2025-07-09,Kerajinan & Produk Lokal,13,True,0
2025-07-09,Properti & Kontraktor,23,True,0
2025-07-09,Travel & Pariwisata,5,True,0
2025-07-09,Kerajinan & Produk Lokal,5,False,0
2025-07-09,Fashion & Gaya Hidup,17,True,0
2025-07-09,Properti & Kontraktor,15,True,0
2025-07-09,Kerajinan & Produk Lokal,7,False,0
2025-07-09,Kerajinan & Produk Lokal,10,True,1
2025-07-09,Digital & Teknologi,13,False,1
2025-07-09,Fashion & Gaya Hidup,16,False,0
2025-07-09,F&B,19,False,0
2025-07-09,Retail & Toko Serba Ada,24,False,0
2025-07-09,Retail & Toko Serba Ada,5,False,0
2025-07-09,Retail & Toko Serba Ada,16,True,0
2025-07-09,Digital & Teknologi,24,True,0
2025-07-09,Kerajinan & Produk Lokal,12,True,1
2025-07-09,Digital & Teknologi,1,False,1
2025-07-09,Properti & Kontraktor,10,True,1
2025-07-09,Retail & Toko Serba Ada,3,True,0
2025-07-09,Digital & Teknologi,4,False,1
2025-07-09,F&B,7,True,0
2025-07-09,Kerajinan & Produk Lokal,1,True,0
2025-07-09,F&B,15,True,0
2025-07-09,Retail & Toko Serba Ada,1,True,0
2025-07-09,Kreatif & Desain,10,True,1
2025-07-09,Pendidikan & Pelatihan,19,False,1
2025-07-09,Kesehatan & Kecantikan,4,True,0
2025-07-09,Travel & Pariwisata,17,False,0
2025-07-09,Digital & Teknologi,18,False,1
2025-07-09,Properti & Kontraktor,21,True,0
2025-07-09,Pendidikan & Pelatihan,12,False,1
2025-07-09,Pendidikan & Pelatihan,12,True,1
2025-07-09,Kreatif & Desain,10,True,1
2025-07-09,F&B,17,False,0
2025-07-09,Digital & Teknologi,8,True,1
2025-07-09,Digital & Teknologi,23,True,0
2025-07-09,Kesehatan & Kecantikan,23,True,0
2025-07-09,Kreatif & Desain,5,True,0
2025-07-09,Retail & Toko Serba Ada,23,False,0
2025-07-09,Retail & Toko Serba Ada,4,False,0
2025-07-09,F&B,9,True,1
2025-07-09,Pendidikan & Pelatihan,19,True,1
2025-07-09,Kesehatan & Kecantikan,11,False,0
2025-07-09,Kerajinan & Produk Lokal,11,True,1
2025-07-09,Travel & Pariwisata,20,True,0
2025-07-09,Properti & Kontraktor,22,False,0
2025-07-09,Fashion & Gaya Hidup,8,False,1
2025-07-09,Fashion & Gaya Hidup,10,False,1
2025-07-09,Properti & Kontraktor,14,True,0
2025-07-09,Travel & Pariwisata,3,False,0
2025-07-09,Kreatif & Desain,13,True,0
2025-07-09,Retail & Toko Serba Ada,12,True,0
2025-07-09,Pendidikan & Pelatihan,17,True,1
2025-07-09,Kesehatan & Kecantikan,19,True,0
2025-07-09,Kerajinan & Produk Lokal,8,False,1
2025-07-09,Fashion & Gaya Hidup,14,True,0
2025-07-09,Kreatif & Desain,8,False,1
2025-07-09,Fashion & Gaya Hidup,17,True,0
2025-07-09,Travel & Pariwisata,1,True,0
2025-07-09,Digital & Teknologi,11,False,1
2025-07-09,Kerajinan & Produk Lokal,3,False,0
2025-07-09,Kesehatan & Kecantikan,18,True,0
2025-07-09,Fashion & Gaya Hidup,7,False,0
2025-07-09,Properti & Kontraktor,13,True,0
2025-07-09,Kerajinan & Produk Lokal,21,False,0
2025-07-09,Kreatif & Desain,18,True,0
2025-07-09,Pendidikan & Pelatihan,12,True,1
2025-07-09,Travel & Pariwisata,14,True,0
2025-07-09,F&B,2,True,0
2025-07-09,Pendidikan & Pelatihan,20,True,1
2025-07-09,Digital & Teknologi,18,True,1
2025-07-09,Properti & Kontraktor,14,True,0
2025-07-09,Digital & Teknologi,17,True,1
2025-07-09,Properti & Kontraktor,8,False,1
2025-07-09,Fashion & Gaya Hidup,24,True,0
2025-07-09,Travel & Pariwisata,22,False,0
2025-07-09,Properti & Kontraktor,14,False,0
2025-07-09,Digital & Teknologi,3,True,1
2025-07-09,Kesehatan & Kecantikan,9,True,1
2025-07-09,Pendidikan & Pelatihan,11,True,1
2025-07-09,Pendidikan & Pelatihan,20,True,1
2025-07-09,Kreatif & Desain,13,True,0
2025-07-09,Properti & Kontraktor,4,False,0
2025-07-09,Pendidikan & Pelatihan,12,True,1
2025-07-09,Fashion & Gaya Hidup,21,True,0
2025-07-09,Kerajinan & Produk Lokal,24,True,0
2025-07-09,Kesehatan & Kecantikan,21,False,0
2025-07-09,Digital & Teknologi,19,False,1
2025-07-09,Fashion & Gaya Hidup,21,False,0
2025-07-09,Fashion & Gaya Hidup,23,False,0
2025-07-09,Fashion & Gaya Hidup,2,False,0
2025-07-09,Kesehatan & Kecantikan,19,False,0
2025-07-09,Kerajinan & Produk Lokal,16,True,0
2025-07-09,Properti & Kontraktor,9,True,1
2025-06-25,Travel & Pariwisata,5,True,0
2025-06-25,F&B,10,True,1
2025-06-25,Travel & Pariwisata,20,True,0
2025-06-25,F&B,2,False,0
2025-06-25,Kreatif & Desain,11,False,0
2025-06-25,Retail & Toko Serba Ada,19,True,0
2025-06-25,Kreatif & Desain,23,False,0
2025-06-25,Fashion & Gaya Hidup,6,False,0
2025-06-25,Kreatif & Desain,5,False,0
2025-06-25,Kesehatan & Kecantikan,13,True,0
2025-06-25,Kerajinan & Produk Lokal,10,False,1
2025-06-25,Fashion & Gaya Hidup,12,False,0
2025-06-25,Kreatif & Desain,13,True,0
2025-06-25,Kesehatan & Kecantikan,14,True,0
2025-06-25,Fashion & Gaya Hidup,1,True,0
2025-06-25,Pendidikan & Pelatihan,5,False,1
2025-06-25,Retail & Toko Serba Ada,23,True,0
2025-06-25,F&B,21,False,0
2025-06-25,Pendidikan & Pelatihan,6,True,1
2025-06-25,Fashion & Gaya Hidup,5,False,0
2025-06-25,Pendidikan & Pelatihan,11,True,1
2025-06-25,Retail & Toko Serba Ada,16,False,0
2025-06-25,Travel & Pariwisata,15,True,0
2025-06-25,Kreatif & Desain,4,True,0
2025-06-25,Kerajinan & Produk Lokal,20,False,0
2025-06-25,Properti & Kontraktor,9,True,1
2025-06-25,Retail & Toko Serba Ada,4,True,0
2025-06-25,Digital & Teknologi,7,False,1
2025-06-25,Fashion & Gaya Hidup,8,True,1
2025-06-25,Kreatif & Desain,11,True,0
2025-06-25,Pendidikan & Pelatihan,19,False,1
2025-06-25,Pendidikan & Pelatihan,6,False,1
2025-06-25,Travel & Pariwisata,18,True,0
2025-06-25,F&B,4,False,0
2025-06-25,Travel & Pariwisata,11,True,0
2025-06-25,Properti & Kontraktor,11,True,1
2025-06-25,Digital & Teknologi,21,False,0
2025-06-25,Fashion & Gaya Hidup,12,False,0
2025-06-25,Pendidikan & Pelatihan,23,True,0
2025-06-25,Pendidikan & Pelatihan,9,True,1
2025-06-25,Properti & Kontraktor,17,False,0
