tanggal,namaBisnis,modal,pemasukan,pengeluaran,jamOperasional,jenisBisnis,status,keuntungan,kerugian,bisnisAddress,isDigital,hasWebsite
2025-07-10,Koding Karya,1747004.35,341381.07,4073340.07,1,Digital & Teknologi,0,0.0,1405623.28,"Jl. Pelaku Usaha No. 1, Jakarta Barat",True,True
2025-07-10,Kelas Rakyat,3659393.65,2042347.75,794579.93,8,Pendidikan & Pelatihan,0,0.0,1617045.9,"Jl. Pelaku Usaha No. 2, Bandar Lampung",False,True
2025-07-10,Citra Akar,7550904.84,16528496.04,708512.9,13,Kreatif & Desain,1,8977591.2,0.0,"Jl. Pelaku Usaha No. 3, Dumai",True,True
2025-07-10,NusaCloud,14308258.42,16870097.81,3882064.66,16,Digital & Teknologi,1,2561839.39,0.0,"Jl. Pelaku Usaha No. 4, Tegal",True,False
2025-07-10,Langkah Cerah,7338387.45,4118695.76,3707662.45,16,Pendidikan & Pelatihan,0,0.0,3219691.69,"Jl. Pelaku Usaha No. 5, Surakarta",False,False
2025-07-10,RumaRaya,3028900.48,1730314.22,3598855.15,10,Retail & Toko Serba Ada,0,0.0,1298586.26,"Jl. Pelaku Usaha No. 6, Semarang",False,False
2025-07-10,Sambal Senja,9301231.09,15680925.34,907685.85,9,F&B,1,6379694.25,0.0,"Jl. Pelaku Usaha No. 7, Tangerang",False,True
2025-07-10,Sentra Loka,3502796.2,6500344.04,1546254.65,11,Kerajinan & Produk Lokal,1,2997547.84,0.0,"Jl. Pelaku Usaha No. 8, Bekasi",False,True
2025-07-10,Koding Karya,2074203.09,4639825.01,1906766.2,20,Digital & Teknologi,1,2565621.92,0.0,"Jl. Pelaku Usaha No. 9, Singkawang",True,True
2025-07-10,Koding Karya,12309671.16,14198697.49,4894072.45,19,Digital & Teknologi,1,1889026.33,0.0,"Jl. Pelaku Usaha No. 10, Balikpapan",True,True
2025-07-10,Warna Rasa,12683230.9,21707791.01,2227379.28,7,Kreatif & Desain,1,9024560.11,0.0,"Jl. Pelaku Usaha No. 11, Serang",True,True
2025-07-10,Rupa Sejiwa,3154269.08,-250482.23,2583044.87,10,Kesehatan & Kecantikan,0,0.0,3404751.31,"Jl. Pelaku Usaha No. 12, Medan",False,True
2025-07-10,Sentra Loka,9270668.12,16632290.15,3544600.04,11,Kerajinan & Produk Lokal,1,7361622.03,0.0,"Jl. Pelaku Usaha No. 13, Padang",False,True
2025-07-10,Studio Karsa,9037241.97,9100106.17,2101234.93,15,Kreatif & Desain,1,62864.2,0.0,"Jl. Pelaku Usaha No. 14, Mataram",True,False
2025-07-10,NusaTrip,18705593.35,20715565.55,2967260.16,8,Travel & Pariwisata,1,2009972.2,0.0,"Jl. Pelaku Usaha No. 15, Palu",False,True
2025-07-10,Kriya Kita,10168955.75,11232264.2,1720465.44,12,Kerajinan & Produk Lokal,1,1063308.45,0.0,"Jl. Pelaku Usaha No. 16, Jambi",False,True
2025-07-10,Tamasya Cerah,1449311.99,5588052.14,1462505.47,10,Travel & Pariwisata,1,4138740.15,0.0,"Jl. Pelaku Usaha No. 17, Banjarmasin",False,False
2025-07-10,Bimbingan Cerita,4771321.2,12901663.29,4701886.86,8,Pendidikan & Pelatihan,1,8130342.09,0.0,"Jl. Pelaku Usaha No. 18, Pangkalpinang",False,False
2025-07-10,Langkah Cerah,9589672.07,17054524.48,1927056.85,5,Pendidikan & Pelatihan,1,7464852.41,0.0,"Jl. Pelaku Usaha No. 19, Tegal",False,False
2025-07-10,Lini Rupa,14826639.92,21531440.35,1422629.81,10,Fashion & Gaya Hidup,1,6704800.43,0.0,"Jl. Pelaku Usaha No. 20, Medan",False,True
2025-07-10,BitNusa,13270431.33,19539221.37,1190882.29,5,Digital & Teknologi,1,6268790.04,0.0,"Jl. Pelaku Usaha No. 21, Jambi",True,True
2025-07-10,Laras Care,6800911.29,4102382.24,1587925.78,8,Kesehatan & Kecantikan,0,0.0,2698529.05,"Jl. Pelaku Usaha No. 22, Singkawang",False,True
2025-07-10,NusaCloud,9914789.01,12894346.73,4675317.05,14,Digital & Teknologi,1,2979557.72,0.0,"Jl. Pelaku Usaha No. 23, Palangka Raya",True,True
2025-07-10,Belanja Pintar,11451558.77,13798414.73,1368864.36,8,Retail & Toko Serba Ada,1,2346855.96,0.0,"Jl. Pelaku Usaha No. 24, Bekasi",False,True
2025-07-10,Loka Bambu,14836127.7,14375184.53,1604525.08,8,Kerajinan & Produk Lokal,0,0.0,460943.17,"Jl. Pelaku Usaha No. 25, Depok",False,True
2025-07-10,Harga Loka,18646440.2,15231029.81,4206934.1,10,Retail & Toko Serba Ada,0,0.0,3415410.39,"Jl. Pelaku Usaha No. 26, Malang",False,True
2025-07-10,Rumah Kita,12934124.43,9869732.14,767210.12,12,Properti & Kontraktor,0,0.0,3064392.29,"Jl. Pelaku Usaha No. 27, Jakarta",False,True
2025-07-10,Sehat Sentosa,6200942.98,4282437.45,3886225.37,8,Kesehatan & Kecantikan,0,0.0,1918505.53,"Jl. Pelaku Usaha No. 28, Kediri",False,True
2025-07-10,Hijab Pelita,3266988.72,5770749.5,2215599.49,10,Fashion & Gaya Hidup,1,2503760.78,0.0,"Jl. Pelaku Usaha No. 29, Samarinda",False,True
2025-07-10,Karya Warna,9232670.2,16426554.71,4271761.78,9,Kerajinan & Produk Lokal,1,7193884.51,0.0,"Jl. Pelaku Usaha No. 30, Palembang",False,True
2025-07-10,Kriya Kita,8281923.49,3736109.23,3207965.58,9,Kerajinan & Produk Lokal,0,0.0,4545814.26,"Jl. Pelaku Usaha No. 31, Tarakan",False,True
2025-07-10,IdeLokal,13861226.27,18942537.17,3314462.54,20,Kreatif & Desain,1,5081310.9,0.0,"Jl. Pelaku Usaha No. 32, Jakarta Barat",True,False
2025-07-10,Bangun Cerita,18465752.41,25414047.47,2126834.16,10,Properti & Kontraktor,1,6948295.06,0.0,"Jl. Pelaku Usaha No. 33, Mataram",False,False
