tanggal,namaBisnis,modal,pemasukan,pengeluaran,jamOperasional,jenisBisnis,status,keuntungan,kerugian,bisnisAddress,isDigital,hasWebsite,jenisBisnisEncoded,predicted_status,predicted_keuntungan,predicted_kerugian
2025-07-09,Tamasya Cerah,16418043,20167866,3413897,8,Travel & Pariwisata,1,3749823,0,"Jl. Pelaku Usaha No. 1, Jakarta",0,1,9,0,1002689,7150
2025-07-09,Pelita Cita,17077407,13463433,1595126,20,Pendidikan & Pelatihan,0,0,3613974,"Jl. Pelaku Usaha No. 2, Makassar",0,1,6,0,-54126,95817
2025-07-09,Bentuk Cerita,5488904,13004258,2515810,18,Kreatif & Desain,1,7515354,0,"Jl. Pelaku Usaha No. 3, Surabaya",1,1,5,0,2062257,20850
2025-07-09,Bentuk Cerita,18555276,18019933,3719512,18,Kreatif & Desain,0,0,535343,"Jl. Pelaku Usaha No. 4, Jakarta",1,1,5,0,-3443,3238
2025-07-09,Rumah Kita,3996160,4091538,1507432,10,Properti & Kontraktor,1,95378,0,"Jl. Pelaku Usaha No. 5, Jakarta",0,1,7,1,38435,105
2025-07-09,Sehat Sentosa,15525751,15010330,3601059,8,Kesehatan & Kecantikan,0,0,515421,"Jl. Pelaku Usaha No. 6, Semarang",0,0,4,0,-2358,2229
2025-07-09,Kelas Rakyat,15482233,15927784,2519065,10,Pendidikan & Pelatihan,1,445551,0,"Jl. Pelaku Usaha No. 7, Surabaya",0,1,6,1,96190,224
2025-07-09,Laras Care,4136813,-202912,3421856,10,Kesehatan & Kecantikan,0,0,4339725,"Jl. Pelaku Usaha No. 8, Surabaya",0,1,4,0,-66933,120573
2025-07-09,RumaRaya,16594264,19287680,3220867,9,Retail & Toko Serba Ada,1,2693416,0,"Jl. Pelaku Usaha No. 9, Semarang",0,1,8,1,702863,3476
2025-07-09,Laras Care,5474242,8480108,2123738,10,Kesehatan & Kecantikan,1,3005866,0,"Jl. Pelaku Usaha No. 10, Semarang",0,1,4,0,803698,4892
